days,valus,params,countrycode,SRC
15.5517,-5.91688,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
15.8966,-6.34736,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
16.1034,-5.46772,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
16.3103,-3.71274,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
16.5172,-2.39543,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
16.8621,-1.51292,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
17,-1.07238,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
17.2759,0.246371,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
17.5517,0.689786,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
17.9655,0.69841,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
18.5172,0.709908,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
19,0.71997,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
19.2759,0.725719,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
19.6207,0.732906,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
19.8966,0.738655,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
20.1724,0.744404,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
20.4483,0.750154,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
20.7241,1.19357,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
20.931,2.51088,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
21.1379,2.51519,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
21.5517,2.96148,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
